county_desc,light_desc,collision_type_desc,weather_desc,harm_event_desc1,harm_event_desc2,rd_cond_desc,report_type
Baltimore,Unknown,Unknown,Not Applicable,Unknown,Unknown,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Carroll,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Dark No Lights,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Same Direction Rear End,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Dark Lights On,Other,Raining,Parked Vehicle,Other Vehicle,Not Applicable,Property Damage Crash
Washington,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Injury Crash
Baltimore,Daylight,Unknown,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Parked Vehicle,Other Vehicle,No Defects,Property Damage Crash
St. Mary's,Daylight,Single Vehicle,Raining,Other Object,Other Object,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Same Direction Sideswipe,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore,Daylight,Unknown,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Left Turn,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Single Vehicle,Raining,Not Applicable,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Rear End,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Unknown,Not Applicable,Not Applicable,Not Applicable,No Defects,Property Damage Crash
